start_date,end_date,updated_date_x,forecast_value,production_type,updated_date_y,actual_value
2025-02-16T00:00:00+01:00,2025-02-16T01:00:00+01:00,2025-02-15T16:50:00+01:00,0.0,SOLAR,2025-02-17T01:11:08+01:00,0
2025-02-16T00:00:00+01:00,2025-02-16T01:00:00+01:00,2025-02-15T19:45:00+01:00,0.0,SOLAR,2025-02-17T01:11:08+01:00,0
2025-02-16T00:00:00+01:00,2025-02-16T01:00:00+01:00,2025-02-15T19:30:00+01:00,0.0,SOLAR,2025-02-17T01:11:08+01:00,0
2025-02-16T01:00:00+01:00,2025-02-16T02:00:00+01:00,2025-02-15T16:50:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T01:00:00+01:00,2025-02-16T02:00:00+01:00,2025-02-15T19:45:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T01:00:00+01:00,2025-02-16T02:00:00+01:00,2025-02-15T19:30:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T02:00:00+01:00,2025-02-16T03:00:00+01:00,2025-02-15T16:50:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T02:00:00+01:00,2025-02-16T03:00:00+01:00,2025-02-15T19:45:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T02:00:00+01:00,2025-02-16T03:00:00+01:00,2025-02-15T19:30:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T03:00:00+01:00,2025-02-16T04:00:00+01:00,2025-02-15T16:50:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T03:00:00+01:00,2025-02-16T04:00:00+01:00,2025-02-15T19:45:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T03:00:00+01:00,2025-02-16T04:00:00+01:00,2025-02-15T19:30:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T04:00:00+01:00,2025-02-16T05:00:00+01:00,2025-02-15T16:50:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T04:00:00+01:00,2025-02-16T05:00:00+01:00,2025-02-15T19:45:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T04:00:00+01:00,2025-02-16T05:00:00+01:00,2025-02-15T19:30:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T05:00:00+01:00,2025-02-16T06:00:00+01:00,2025-02-15T16:50:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T05:00:00+01:00,2025-02-16T06:00:00+01:00,2025-02-15T19:45:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T05:00:00+01:00,2025-02-16T06:00:00+01:00,2025-02-15T19:30:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T06:00:00+01:00,2025-02-16T07:00:00+01:00,2025-02-15T16:50:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T06:00:00+01:00,2025-02-16T07:00:00+01:00,2025-02-15T19:45:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T06:00:00+01:00,2025-02-16T07:00:00+01:00,2025-02-15T19:30:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,0
2025-02-16T07:00:00+01:00,2025-02-16T08:00:00+01:00,2025-02-15T16:50:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,358
2025-02-16T07:00:00+01:00,2025-02-16T08:00:00+01:00,2025-02-16T06:45:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,358
2025-02-16T07:00:00+01:00,2025-02-16T08:00:00+01:00,2025-02-16T06:40:00+01:00,0.0,SOLAR,2025-02-18T01:11:10+01:00,358
2025-02-16T08:00:00+01:00,2025-02-16T09:00:00+01:00,2025-02-15T16:50:00+01:00,215.43,SOLAR,2025-02-18T01:11:10+01:00,1413
2025-02-16T08:00:00+01:00,2025-02-16T09:00:00+01:00,2025-02-16T06:45:00+01:00,222.31,SOLAR,2025-02-18T01:11:10+01:00,1413
2025-02-16T08:00:00+01:00,2025-02-16T09:00:00+01:00,2025-02-16T06:40:00+01:00,222.31,SOLAR,2025-02-18T01:11:10+01:00,1413
2025-02-16T09:00:00+01:00,2025-02-16T10:00:00+01:00,2025-02-15T16:50:00+01:00,2476.02,SOLAR,2025-02-18T01:11:10+01:00,4684
2025-02-16T09:00:00+01:00,2025-02-16T10:00:00+01:00,2025-02-16T06:45:00+01:00,2614.18,SOLAR,2025-02-18T01:11:10+01:00,4684
2025-02-16T09:00:00+01:00,2025-02-16T10:00:00+01:00,2025-02-16T06:40:00+01:00,2614.18,SOLAR,2025-02-18T01:11:10+01:00,4684
2025-02-16T10:00:00+01:00,2025-02-16T11:00:00+01:00,2025-02-15T16:50:00+01:00,5579.72,SOLAR,2025-02-18T01:11:10+01:00,8178
2025-02-16T10:00:00+01:00,2025-02-16T11:00:00+01:00,2025-02-16T06:45:00+01:00,6013.21,SOLAR,2025-02-18T01:11:10+01:00,8178
